request_id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,assigned_status,hour,dayofweek,timeslot,iscancelled
619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,Assigned,11,Monday,Morning,0
867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,Assigned,17,Monday,Evening,0
1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,Assigned,9,Tuesday,Early Morning,0
2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,Assigned,21,Tuesday,Night,0
3112,City,1.0,Trip Completed,2016-07-13 08:33:00,2016-07-13 09:25:00,Assigned,8,Wednesday,Early Morning,0
3879,Airport,1.0,Trip Completed,2016-07-13 21:57:00,2016-07-13 22:28:00,Assigned,21,Wednesday,Night,0
4270,Airport,1.0,Trip Completed,2016-07-14 06:15:00,2016-07-14 07:13:00,Assigned,6,Thursday,Early Morning,0
5510,Airport,1.0,Trip Completed,2016-07-15 05:11:00,2016-07-15 06:07:00,Assigned,5,Friday,Early Morning,0
6248,City,1.0,Trip Completed,2016-07-15 17:57:00,2016-07-15 18:50:00,Assigned,17,Friday,Evening,0
267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,Assigned,6,Monday,Early Morning,0
1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,Assigned,5,Tuesday,Early Morning,0
1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,Assigned,12,Tuesday,Afternoon,0
2784,Airport,2.0,Trip Completed,2016-07-13 04:49:00,2016-07-13 05:23:00,Assigned,4,Wednesday,Late Night,0
3075,City,2.0,Trip Completed,2016-07-13 08:02:00,2016-07-13 09:16:00,Assigned,8,Wednesday,Early Morning,0
3379,City,2.0,Trip Completed,2016-07-13 14:23:00,2016-07-13 15:35:00,Assigned,14,Wednesday,Afternoon,0
3482,Airport,2.0,Trip Completed,2016-07-13 17:23:00,2016-07-13 18:20:00,Assigned,17,Wednesday,Evening,0
4652,City,2.0,Trip Completed,2016-07-14 12:01:00,2016-07-14 12:36:00,Assigned,12,Thursday,Afternoon,0
5335,Airport,2.0,Trip Completed,2016-07-14 22:24:00,2016-07-14 23:18:00,Assigned,22,Thursday,Night,0
535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,Assigned,10,Monday,Morning,0
960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,Assigned,18,Monday,Evening,0
1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,Assigned,11,Tuesday,Morning,0
2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,Assigned,15,Tuesday,Afternoon,0
2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,Assigned,18,Tuesday,Evening,0
3096,Airport,3.0,Trip Completed,2016-07-13 08:17:00,2016-07-13 09:22:00,Assigned,8,Wednesday,Early Morning,0
3881,Airport,3.0,Trip Completed,2016-07-13 21:54:00,2016-07-13 22:51:00,Assigned,21,Wednesday,Night,0
5254,City,3.0,Trip Completed,2016-07-14 21:23:00,2016-07-14 22:25:00,Assigned,21,Thursday,Night,0
5434,City,3.0,Trip Completed,2016-07-15 02:41:00,2016-07-15 03:24:00,Assigned,2,Friday,Late Night,0
5916,City,3.0,Trip Completed,2016-07-15 10:00:00,2016-07-15 10:53:00,Assigned,10,Friday,Morning,0
669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,Assigned,13,Monday,Afternoon,0
1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,Assigned,6,Tuesday,Early Morning,0
1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,Assigned,9,Tuesday,Early Morning,0
2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,Assigned,16,Tuesday,Afternoon,0
2847,Airport,4.0,Trip Completed,2016-07-13 05:34:00,2016-07-13 06:09:00,Assigned,5,Wednesday,Early Morning,0
3722,Airport,4.0,Trip Completed,2016-07-13 19:57:00,2016-07-13 20:32:00,Assigned,19,Wednesday,Evening,0
4075,City,4.0,Trip Completed,2016-07-14 02:17:00,2016-07-14 03:21:00,Assigned,2,Thursday,Late Night,0
4686,City,4.0,Trip Completed,2016-07-14 13:01:00,2016-07-14 13:45:00,Assigned,13,Thursday,Afternoon,0
5771,Airport,4.0,Trip Completed,2016-07-15 08:30:00,2016-07-15 09:37:00,Assigned,8,Friday,Early Morning,0
6106,Airport,4.0,Trip Completed,2016-07-15 15:01:00,2016-07-15 15:47:00,Assigned,15,Friday,Afternoon,0
312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,Assigned,7,Monday,Early Morning,0
577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,Assigned,11,Monday,Morning,0
1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,Assigned,20,Monday,Evening,0
1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00,Assigned,8,Tuesday,Early Morning,0
2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00,Assigned,14,Tuesday,Afternoon,0
2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00,Assigned,21,Tuesday,Night,0
3014,City,5.0,Trip Completed,2016-07-13 07:28:00,2016-07-13 08:29:00,Assigned,7,Wednesday,Early Morning,0
3317,City,5.0,Trip Completed,2016-07-13 12:14:00,2016-07-13 12:46:00,Assigned,12,Wednesday,Afternoon,0
4297,City,5.0,Trip Completed,2016-07-14 06:43:00,2016-07-14 07:49:00,Assigned,6,Thursday,Early Morning,0
5857,Airport,5.0,Trip Completed,2016-07-15 09:08:00,2016-07-15 10:07:00,Assigned,9,Friday,Early Morning,0
6690,Airport,5.0,Trip Completed,2016-07-15 22:41:00,2016-07-15 23:51:00,Assigned,22,Friday,Night,0
1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00,Assigned,5,Tuesday,Early Morning,0
1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00,Assigned,13,Tuesday,Afternoon,0
2960,Airport,6.0,Trip Completed,2016-07-13 06:50:00,2016-07-13 07:40:00,Assigned,6,Wednesday,Early Morning,0
3882,City,6.0,Trip Completed,2016-07-13 21:53:00,2016-07-13 22:45:00,Assigned,21,Wednesday,Night,0
4081,Airport,6.0,Trip Completed,2016-07-14 02:37:00,2016-07-14 03:30:00,Assigned,2,Thursday,Late Night,0
4740,City,6.0,Trip Completed,2016-07-14 14:50:00,2016-07-14 15:38:00,Assigned,14,Thursday,Afternoon,0
5270,City,6.0,Trip Completed,2016-07-14 21:33:00,2016-07-14 22:25:00,Assigned,21,Thursday,Night,0
6758,Airport,6.0,Trip Completed,2016-07-15 00:03:00,2016-07-15 01:07:00,Assigned,0,Friday,Late Night,0
5741,City,6.0,Trip Completed,2016-07-15 07:52:00,2016-07-15 08:38:00,Assigned,7,Friday,Early Morning,0
6087,Airport,6.0,Trip Completed,2016-07-15 14:28:00,2016-07-15 15:33:00,Assigned,14,Friday,Afternoon,0
1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00,Assigned,19,Monday,Evening,0
1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00,Assigned,22,Monday,Night,0
2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00,Assigned,20,Tuesday,Evening,0
4105,City,7.0,Trip Completed,2016-07-14 03:39:00,2016-07-14 04:39:00,Assigned,3,Thursday,Late Night,0
4509,City,7.0,Trip Completed,2016-07-14 09:11:00,2016-07-14 10:17:00,Assigned,9,Thursday,Early Morning,0
4986,Airport,7.0,Trip Completed,2016-07-14 18:52:00,2016-07-14 19:50:00,Assigned,18,Thursday,Evening,0
5898,City,7.0,Trip Completed,2016-07-15 09:50:00,2016-07-15 10:40:00,Assigned,9,Friday,Early Morning,0
6142,Airport,7.0,Trip Completed,2016-07-15 15:50:00,2016-07-15 16:36:00,Assigned,15,Friday,Afternoon,0
380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,Assigned,8,Monday,Early Morning,0
1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,Assigned,19,Monday,Evening,0
